Wine Type,Category,Table1.id,Table1.name,Table1.volume,Table1.ABV,Table1.location,Table1.country,Table1.producer,Table1.style,Table1.price,Table1.sugar,Table1.sweetness,Table1.total_alcohol_ml,Table1.value,Table1.type,Table1.class,Table1.rating,Table1.rating_norm,Table1.value_norm,Table1.score_norm,Table1.score
Chardonnay,White Wine,5015,Kressmann Selection Chardonnay,1500,12.5,South of France,France,Ed. Kressmann & Co,Light & Crisp,16.95,2,XD - Extra Dry,187.5,11.0619469,Chardonnay,wine,5,0.734543234,2.166001982,1.591022101,55.3097345
Chardonnay,White Wine,5655,Adesso ChardonnayD'Italia,750,12,Veneto,Italy,Caviro Soc. Coop.,Light & Crisp,8.3,6,XD - Extra Dry,90,10.84337349,Chardonnay,wine,5,0.734543234,2.091593311,1.536365716,54.21686745
Chardonnay,White Wine,5979,Black Cellar Chardonnay,750,12.5,Ontario,Canada,Andrew Peller Limited,Full-bodied & Rich,8.95,8,D - Dry,93.75,10.47486034,Chardonnay,wine,4.3,-0.167328472,1.966140843,-0.328991343,45.04189946
Chardonnay,White Wine,7290,Canyon Road Chardonnay,750,12.5,California,USA,E. & J. Gallo Winery,Full-bodied & Rich,8.95,11,D - Dry,93.75,10.47486034,Chardonnay,wine,4,-0.553844918,1.966140843,-1.088937114,41.89944136
Chardonnay,White Wine,11890,Domaine Boyar Deer Point Chardonnay,750,12.5,Bulgaria,Bulgaria,Domaine Boyar Ltd.,Full-bodied & Rich,8.95,4,XD - Extra Dry,93.75,10.47486034,Chardonnay,wine,,,1.966140843,,
Sauvignon Blanc,White Wine,6254,Santa Carolina Sauvignon Blanc,1500,12.5,Chile,Chile,Vina Santa Carolina,Light & Crisp,15.1,4,XD - Extra Dry,187.5,12.41721854,Sauvignon Blanc,wine,5,0.734543234,2.627375401,1.929920825,62.0860927
Sauvignon Blanc,White Wine,7479,Peller Estates French Cross Sauvignon Blanc,1500,12,Canada,Canada,Andrew Peller Limited,Light & Crisp,14.85,10,D - Dry,180,12.12121212,Sauvignon Blanc,wine,,,2.526606308,,
Sauvignon Blanc,White Wine,4726,Gato Negro Sauvignon Blanc,1500,12,Chile,Chile,Vina San Pedro,Light & Crisp,15.1,2,XD - Extra Dry,180,11.9205298,Sauvignon Blanc,wine,4,-0.553844918,2.458288278,-1.36151047,47.6821192
Sauvignon Blanc,White Wine,4782,Concha Y Toro Frontera Sauvignon Blanc,1500,12,Chile,Chile,Concha Toro S.A.,Light & Crisp,15.1,8,D - Dry,180,11.9205298,Sauvignon Blanc,wine,5,0.734543234,2.458288278,1.805719023,59.602649
Sauvignon Blanc,White Wine,10416,Cono Sur Tocornal Sauvignon Blanc,1500,12,Chile,Chile,Vina Cono Sur,Light & Crisp,15.1,4,XD - Extra Dry,180,11.9205298,Sauvignon Blanc,wine,4,-0.553844918,2.458288278,-1.36151047,47.6821192
Sauvignon Blanc,White Wine,5774,Peller Family Vineyards Sauvignon Blanc,4000,12,Canada,Canada,Andrew Peller Limited,Light & Crisp,40.95,10,D - Dry,480,11.72161172,Sauvignon Blanc,wine,,,2.390570846,,
Sauvignon Blanc,White Wine,7628,Santa Rita Cavanza Sauvignon Blanc,750,13,Chile,Chile,Vina Santa Rita,Light & Crisp,8.35,2,XD - Extra Dry,97.5,11.67664671,Sauvignon Blanc,wine,,,2.375263465,,
Sauvignon Blanc,White Wine,5806,Alario Sauvignon Blanc,750,13,Central Valley,Chile,Vina Carmen,Light & Crisp,8.55,4,XD - Extra Dry,97.5,11.40350877,Sauvignon Blanc,wine,4.8,0.476865604,2.282279459,1.088340573,54.7368421
Sauvignon Blanc,White Wine,7490,Root 1 Sauvignon Blanc,750,12.5,Casablanca Valley,Chile,Vina Ventisquero Ltda.,Aromatic & Flavourful,8.3,3,XD - Extra Dry,93.75,11.29518072,Sauvignon Blanc,wine,,,2.245401478,,
Sauvignon Blanc,White Wine,11816,Pepperwood Grove Sauvignon Blanc,750,12.5,California,USA,Don Sebastiani & Sons,Aromatic & Flavourful,8.3,6,D - Dry,93.75,11.29518072,Sauvignon Blanc,wine,,,2.245401478,,
Sauvignon Blanc,White Wine,12014,Bolgare Sauvignon Blanc Thracia,750,12.5,Bulgaria,Bulgaria,Domaine Boyar Ltd.,Aromatic & Flavourful,8.3,4,XD - Extra Dry,93.75,11.29518072,Sauvignon Blanc,wine,3,-1.84223307,2.245401478,-4.136552858,33.88554216
Sauvignon Blanc,White Wine,7317,Colio Cellar Door Series Sauvignon Blanc,750,12.5,Ontario,Canada,Colio Wines Of Canada Ltd.,Aromatic & Flavourful,8.45,6,XD - Extra Dry,93.75,11.09467456,Sauvignon Blanc,wine,1,-4.419009375,2.177143418,-9.620817174,11.09467456
Sauvignon Blanc,White Wine,5085,Jackson-Triggs Sauvignon Blanc,4000,12.5,Canada,Canada,Jackson-Triggs Winery,Light & Crisp,46.95,7,D - Dry,500,10.64962726,Sauvignon Blanc,wine,4.4,-0.038489657,2.025636525,-0.077966055,46.85835994
Sauvignon Blanc,White Wine,12961,Joiy Savvy Society Sauvignon Blanc,250,13,New Zealand,New Zealand,Archer Mcrae Beverages Ltd.,Light & Crisp,3.1,4,XD - Extra Dry,32.5,10.48387097,Sauvignon Blanc,wine,5,0.734543234,1.96920832,1.446468649,52.41935485
Cabernet Merlot,Red Wine,5978,Gato Negro Cabernet Merlot,1500,13,Chile,Chile,Vina San Pedro,Medium-bodied & Fruity,15.95,4,XD - Extra Dry,195,12.22570533,Cabernet Merlot,wine,,,2.5621788,,
Cabernet Sauvignon/Syrah,White Wine,7463,Cape Bay Cabernet Sauvignon-Shiraz,750,13.5,Western Cape,South Africa,First Cape Vineyards (Pty) Ltd,Medium-bodied & Fruity,8.3,3,XD - Extra Dry,101.25,12.19879518,Cabernet Sauvignon/Syrah,wine,,,2.553017811,,
Shiraz/Grenache,Red Wine,10932,Waltzing Matilda Shiraz Grenache,750,13.5,Australia,Australia,Waltzing Matilda Wine,Medium-bodied & Fruity,8.3,9,D - Dry,101.25,12.19879518,Shiraz/Grenache,wine,3,-1.84223307,2.553017811,-4.703253841,36.59638554
Malbec,Red Wine,11052,Santa Julia Malbec Del Mercado,750,13.5,Mendoza,Argentina,Bodega Santa Julia,Full-bodied & Smooth,8.3,4,XD - Extra Dry,101.25,12.19879518,Malbec,wine,5,0.734543234,2.553017811,1.875301961,60.9939759
Malbec,Red Wine,5112,Santa Rosa Estate Malbec,1500,13.7,Argentina,Argentina,La Agricola,Medium-bodied & Fruity,17.95,7,D - Dry,205.5,11.44846797,Malbec,wine,,,2.297584863,,
Malbec,Red Wine,7242,Fuzion Alta Reserve Malbec,750,15,Argentina,Argentina,Fuzion Wines,Full-bodied & Smooth,9.9,5,XD - Extra Dry,112.5,11.36363636,Malbec,wine,3.9,-0.682683733,2.268705745,-1.548808507,44.3181818
Malbec,Red Wine,7307,Bodega Toro Centenario Malbec,750,13.5,Mendoza,Argentina,Fecovita Coop. Ltda,Full-bodied & Smooth,8.95,5,XD - Extra Dry,101.25,11.31284916,Malbec,wine,3.6,-1.069200179,2.251416322,-2.407214735,40.72625698
Pinot Noir,Red Wine,11255,Wolf Blass Yellow Label Pinot Noir,750,13.5,Australia,Australia,Mildara Blass Limited,Light-bodied & Fruity,8.3,2,XD - Extra Dry,101.25,12.19879518,Pinot Noir,wine,,,2.553017811,,
Pinot Noir,Red Wine,10799,Lindemans Bin 99 Pinot Noir,750,13.5,Australia,Australia,Lindeman's Wines,Light-bodied & Fruity,9.65,6,D - Dry,101.25,10.49222798,Pinot Noir,wine,3,-1.84223307,1.972053287,-3.632981781,31.47668394
Pinot Noir,Red Wine,7325,Peller Family Vineyards Pinot Noir,750,12.5,Ontario,Canada,Andrew Peller Limited,Medium-bodied & Fruity,8.95,9,D - Dry,93.75,10.47486034,Pinot Noir,wine,3,-1.84223307,1.966140843,-3.622089681,31.42458102
Touriga Franca Blend,Red Wine,9481,Bicycle Thief Red Blend,1500,13,Portugal,Portugal,"Vicente Faria Vinhos, Sa",Medium-bodied & Fruity,16.15,10,D - Dry,195,12.07430341,Touriga Franca Blend,wine,4,-0.553844918,2.510637235,-1.390503673,48.29721364
Sangiovese/Merlot,Red Wine,7425,Colle Uncinano Flame Vino Rosso,750,13.5,Umbria,Italy,Az. Agraria Campanella Claudio (Col,,8.4,,,101.25,12.05357143,Sangiovese/Merlot,wine,,,2.503579473,,
Nero d'Avola/Syrah,Red Wine,10071,Cavallina Nero D'Avola Shz Terre Sicilane IGT,750,13.5,Sicily,Italy,Carlo Pellegrino,Medium-bodied & Fruity,8.4,13,D - Dry,101.25,12.05357143,Nero d'Avola/Syrah,wine,5,0.734543234,2.503579473,1.838987363,60.26785715
Shiraz/Malbec,Red Wine,5342,Fuzion Shiraz Malbec,1500,12.5,Argentina,Argentina,Fuzion Wines,Full-bodied & Smooth,15.95,5,XD - Extra Dry,187.5,11.75548589,Shiraz/Malbec,wine,2.5,-2.486427146,2.402102587,-5.972653082,29.38871473
Red Blend,Red Wine,7277,Pelee Pebbles Red,1500,12.5,Canada,Canada,Pelee Island Vineyard Inc.,Medium-bodied & Fruity,15.95,11,D - Dry,187.5,11.75548589,Red Blend,wine,,,2.402102587,,
Red Blend,Red Wine,12412,Unwined Smooth Red,750,13,Ontario,Canada,Colio Wines Of Canada Ltd.,Medium-bodied & Fruity,8.3,19,M - Medium,97.5,11.74698795,Red Blend,wine,4.5,0.090349158,2.399209644,0.216766572,52.86144578
